startYear	Western	Horror	Adventure	Action	Musical	News	Sci-Fi	Game-Show	War	\N	Romance	Animation	Comedy	Talk-Show	Adult	Sport	Film-Noir	Crime	Thriller	Mystery	History	Music	Drama	Reality-TV	Biography	Short	Documentary	Fantasy	Family
1992	16	187	158	635	76	0	80	1	68	991	436	88	1022	2	121	44	0	413	360	133	104	136	1957	4	111	0	981	153	150
1982	21	164	201	445	142	2	72	0	74	1005	348	82	1022	3	249	31	0	283	191	104	98	169	2144	2	97	0	634	146	247
1991	22	200	194	633	69	2	91	2	86	976	372	95	1021	1	124	42	0	398	343	141	107	154	2169	2	116	0	930	184	182
2022	68	1655	693	1431	199	13	484	4	126	798	1336	416	3515	18	83	264	0	1041	2019	676	375	524	6904	51	584	0	5791	511	578
1996	11	154	171	572	67	4	130	0	68	1007	451	99	1065	3	53	63	0	395	416	139	123	166	2097	9	183	0	1336	128	209
1994	28	130	185	594	63	1	94	0	72	889	405	74	1017	3	93	62	0	389	363	145	93	131	2015	4	152	0	1142	151	200
2005	29	438	272	617	135	14	139	1	117	574	786	159	1875	4	34	124	0	502	525	291	244	366	3391	26	289	1	3932	209	274
1998	17	204	197	546	59	2	133	2	78	1022	579	93	1228	5	43	63	0	420	418	163	114	211	2180	5	169	0	1727	141	219
2002	20	263	235	613	96	4	117	1	95	884	753	119	1446	7	35	102	0	531	436	206	146	247	2785	14	212	0	2681	174	221
1997	9	171	183	563	70	2	122	1	73	972	485	100	1158	2	71	53	0	398	416	139	145	181	2176	5	175	0	1562	129	203
2009	34	773	475	855	171	92	222	0	145	622	881	226	2606	7	45	220	0	687	848	394	471	539	4756	44	574	1	5519	320	465
2017	57	1445	832	1492	231	44	454	1	181	852	1283	437	3725	13	135	372	0	1025	1537	688	689	650	6914	72	911	4	7611	532	735
2006	21	542	304	604	154	19	144	1	134	567	750	180	1973	6	43	168	0	504	617	289	262	415	3618	44	319	0	4094	232	340
1999	18	223	174	549	57	3	112	3	73	1028	549	114	1248	4	38	63	0	412	489	133	146	224	2263	5	175	0	1822	144	238
2004	14	372	239	627	107	9	128	2	126	509	710	127	1647	4	25	128	0	454	514	234	179	324	2947	18	245	0	3560	192	241
2023	42	866	394	848	82	4	279	2	65	424	633	296	1664	12	15	91	0	535	1100	284	177	192	3108	17	248	0	2328	210	276
2015	58	1243	801	1293	216	166	434	2	201	733	1342	393	3623	24	73	427	0	946	1449	665	824	721	6729	77	1068	5	7364	486	819
2008	35	635	364	764	145	19	174	1	154	644	837	199	2251	5	67	210	0	612	715	308	306	475	4144	50	397	1	4865	256	372
2003	24	272	254	602	103	4	110	1	97	636	700	132	1656	5	26	97	0	509	444	208	160	273	2878	21	211	0	3076	176	281
2007	29	582	307	680	133	25	174	1	158	640	816	198	2031	6	41	188	0	600	633	311	316	441	3869	58	352	0	4486	232	313
1903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0
1898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
1899	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	0	0
2012	51	1070	713	1055	202	201	331	0	158	555	1062	336	3204	8	64	370	0	792	1120	536	787	707	5757	69	1022	3	6620	397	771
2010	35	822	568	1003	187	150	260	1	162	571	1010	264	2742	7	50	232	0	657	907	424	677	582	5202	53	832	1	5823	339	569
2013	46	1129	801	1184	192	234	390	1	130	507	1211	322	3365	15	68	348	0	888	1395	624	932	696	6254	68	1192	3	6737	397	934
2011	56	960	661	1047	181	163	318	1	170	638	1023	328	2958	10	58	295	0	737	987	475	700	672	5430	60	916	3	6208	395	682
1904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
2016	51	1378	827	1429	217	76	425	2	195	945	1439	421	3801	22	186	463	0	1084	1527	704	703	615	6829	57	972	4	7549	531	747
1901	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0
1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0
1900	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
2024	4	86	79	110	6	1	45	0	6	23	29	52	107	1	1	4	0	35	95	31	4	6	174	0	22	0	67	32	27
2014	63	1218	886	1232	205	258	405	5	205	590	1353	361	3612	9	83	417	0	910	1427	654	975	781	6479	74	1331	2	7209	428	968
2025	1	19	24	36	0	0	17	0	2	8	2	15	18	0	0	1	0	8	13	4	0	1	24	0	1	0	7	14	5
2029	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
2027	0	1	4	3	0	0	0	0	0	1	0	3	3	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0
2026	0	4	7	5	0	0	2	0	0	12	2	2	2	0	0	0	0	1	1	1	1	0	4	0	0	0	1	1	2
2030	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2028	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
