group,variable,value
Adventure,Crime,5.71138047138047
Adventure,Romance,5.805272407732863
Adventure,Family,5.9805567095970105
Adventure,Drama,6.031843871423491
Adventure,Musical,6.1569620253164565
Adventure,War,5.902994011976047
Adventure,Animation,6.341240716470079
Adventure,Sport,6.867289719626169
Adventure,History,6.260996563573888
Adventure,Music,6.131468531468532
Adventure,Biography,6.768780487804878
Adventure,Documentary,7.342515592515591
Western,Horror,4.835616438356164
Western,Sci-Fi,4.656521739130435
Western,Thriller,6.076000000000003
Western,Action,5.6105105105105135
Western,Western,5.637034849379793
Western,Adventure,5.801923076923076
Western,Mystery,5.946511627906975
Western,Comedy,5.8696
Western,Fantasy,5.527272727272727
Western,Crime,5.971014492753623
Western,Romance,6.012244897959182
Western,Family,6.217647058823529
Western,Drama,6.014336352894842
Western,Musical,6.038333333333333
Western,War,5.81578947368421
Western,Animation,6.050000000000001
Western,Sport,6.566666666666666
Western,History,6.311475409836063
Western,Music,5.882536382536382
Western,Biography,6.150000000000001
Western,Documentary,7.187878787878791
Action,Horror,4.808276291225883
Action,Sci-Fi,5.099606299212601
Action,Thriller,5.469082240762802
Action,Action,5.700825471698109
Action,Western,5.6105105105105135
Action,Adventure,5.64633431085041
Action,Mystery,5.781979320531757
Action,Comedy,5.670087719298236
Action,Fantasy,5.557032348804492
Action,Crime,5.79798938843896
Action,Romance,5.766173752310539
Action,Family,5.7018907563025225
Action,Drama,5.861055192081849
Action,Musical,6.098387096774193
Action,War,5.775951293759509
Action,Animation,6.5966227347611275
Action,Sport,6.018450184501845
Action,History,6.435958904109589
Action,Music,5.728965517241379
Action,Biography,6.645786516853929
Action,Documentary,7.261377245508982
Thriller,Horror,4.943843789549807
Thriller,Sci-Fi,5.016236469608657
Thriller,Thriller,5.5988848263254125
Thriller,Action,5.469082240762802
Thriller,Western,6.076000000000003
Thriller,Adventure,5.640723270440254
Thriller,Mystery,5.655252497974613
Thriller,Comedy,5.789647577092511
Thriller,Fantasy,5.5197568389057805
Thriller,Crime,5.900188536953227
Thriller,Romance,5.8198250728863
Thriller,Family,6.1428571428571415
Thriller,Drama,5.874663258283357
Thriller,Musical,6.234782608695654
Thriller,War,5.8849246231155785
Thriller,Animation,6.56
Thriller,Sport,5.654838709677418
Thriller,History,6.477215189873416
Thriller,Music,5.845454545454544
Thriller,Biography,6.3500000000000005
Thriller,Documentary,7.080898876404495
Sci-Fi,Horror,4.819151312116129
Sci-Fi,Sci-Fi,5.451000953288843
Sci-Fi,Thriller,5.016236469608657
Sci-Fi,Action,5.099606299212601
Sci-Fi,Western,4.656521739130435
Sci-Fi,Adventure,5.403645200486024
Sci-Fi,Mystery,5.607228915662651
Sci-Fi,Comedy,5.526756352765314
Sci-Fi,Fantasy,5.47714884696017
Sci-Fi,Crime,5.59896907216495
Sci-Fi,Romance,5.753358208955225
Sci-Fi,Family,5.566972477064221
Sci-Fi,Drama,5.75039133052379
Sci-Fi,Musical,5.92608695652174
Sci-Fi,War,5.515384615384614
Sci-Fi,Animation,6.3287878787878755
Sci-Fi,Sport,5.800000000000002
Sci-Fi,History,5.8500000000000005
Sci-Fi,Music,5.72162162162162
Sci-Fi,Biography,6.791666666666667
Sci-Fi,Documentary,6.800000000000001
Horror,Horror,4.7832608064983955
Horror,Sci-Fi,4.819151312116129
Horror,Thriller,4.943843789549807
Horror,Action,4.808276291225883
Horror,Western,4.835616438356164
Horror,Adventure,4.8359190556492395
Horror,Mystery,5.263844961240314
Horror,Comedy,5.207111801242241
Horror,Fantasy,5.4011818778726175
